"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1598}]","1598","Instructions","SCSORF","instructions","20","82490","0.0-29.0","",""
"","4515","SCSORF_01","SCSORF","survey-multi-choice-vertical","21","87007","0.0-30.0","{""Q0"":""1. Mi fe religiosa es extremadamente importante para mí.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","2160","SCSORF_02","SCSORF","survey-multi-choice-vertical","22","89169","0.0-31.0","{""Q0"":""2. Rezo a diario.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","3350","SCSORF_03","SCSORF","survey-multi-choice-vertical","23","92521","0.0-32.0","{""Q0"":""3. Considero mi fe una fuente de inspiración""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","3358","SCSORF_04","SCSORF","survey-multi-choice-vertical","24","95881","0.0-33.0","{""Q0"":""4. Considero que mi fe le otorga significado y propósito a mi vida.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","2522","SCSORF_05","SCSORF","survey-multi-choice-vertical","25","98405","0.0-34.0","{""Q0"":""5. Me considero activo/a en mi fe o iglesia.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","3040","SCSORF_06","SCSORF","survey-multi-choice-vertical","26","101447","0.0-35.0","{""Q0"":""6. Mi fe es una parte importante de quien soy como persona.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","2368","SCSORF_07","SCSORF","survey-multi-choice-vertical","27","103816","0.0-36.0","{""Q0"":""7. Mi relación con Dios es extremadamente importante para mí.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","6160","SCSORF_08","SCSORF","survey-multi-choice-vertical","28","109978","0.0-37.0","{""Q0"":""8. Disfruto estando alrededor de otras personas que comparten mi fe.""}","{""Q0"":"" De acuerdo""}"
"","5912","SCSORF_09","SCSORF","survey-multi-choice-vertical","29","115892","0.0-38.0","{""Q0"":""9. Veo mi fe como una fuente de comodidad.""}","{""Q0"":"" De acuerdo""}"
"","4089","SCSORF_10","SCSORF","survey-multi-choice-vertical","30","119982","0.0-39.0","{""Q0"":""10. Mi fe impacta muchas de mis decisiones.""}","{""Q0"":"" En desacuerdo""}"
