"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","EAR","fullscreen","36","384221","0.0-42.0-0.0","","","","",""
"","EAR","instructions","37","388205","0.0-43.0","[{""page_index"":0,""viewing_time"":3982}]","3982","Instructions","",""
"","EAR","survey-multi-choice-vertical","38","424225","0.0-44.0","","36015","EAR_01","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" De acuerdo""}"
"","EAR","survey-multi-choice-vertical","39","436207","0.0-45.0","","11979","EAR_02","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" Muy de acuerdo""}"
"","EAR","survey-multi-choice-vertical","40","445990","0.0-46.0","","9779","EAR_03","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" En desacuerdo""}"
"","EAR","survey-multi-choice-vertical","41","455273","0.0-47.0","","9278","EAR_04","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" En desacuerdo""}"
"","EAR","survey-multi-choice-vertical","42","467206","0.0-48.0","","11929","EAR_05","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" Muy de acuerdo""}"
"","EAR","survey-multi-choice-vertical","43","474563","0.0-49.0","","7352","EAR_06","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","EAR","survey-multi-choice-vertical","44","484280","0.0-50.0","","9713","EAR_07","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" En desacuerdo""}"
"","EAR","survey-multi-choice-vertical","45","492437","0.0-51.0","","8153","EAR_08","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","EAR","survey-multi-choice-vertical","46","498488","0.0-52.0","","6046","EAR_09","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" Muy de acuerdo""}"
"","EAR","survey-multi-choice-vertical","47","511196","0.0-53.0","","12705","EAR_10","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" De acuerdo""}"
