"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1696}]","1697","Instructions","EAR","instructions","32","168410","0.0-42.0","",""
"","9646","EAR_01","EAR","survey-multi-choice-vertical","33","178061","0.0-43.0","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" De acuerdo""}"
"","6721","EAR_02","EAR","survey-multi-choice-vertical","34","184787","0.0-44.0","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" En desacuerdo""}"
"","5784","EAR_03","EAR","survey-multi-choice-vertical","35","190581","0.0-45.0","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","8165","EAR_04","EAR","survey-multi-choice-vertical","36","198751","0.0-46.0","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" De acuerdo""}"
"","6425","EAR_05","EAR","survey-multi-choice-vertical","37","205181","0.0-47.0","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" Muy de acuerdo""}"
"","2875","EAR_06","EAR","survey-multi-choice-vertical","38","208061","0.0-48.0","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" Muy en desacuerdo""}"
"","5335","EAR_07","EAR","survey-multi-choice-vertical","39","213401","0.0-49.0","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" Muy en desacuerdo""}"
"","3215","EAR_08","EAR","survey-multi-choice-vertical","40","216621","0.0-50.0","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","3900","EAR_09","EAR","survey-multi-choice-vertical","41","220526","0.0-51.0","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" Muy de acuerdo""}"
"","3790","EAR_10","EAR","survey-multi-choice-vertical","42","224321","0.0-52.0","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" Muy de acuerdo""}"
