"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","fullscreen","0","2554","0.0-0.0","","","","",""
"","instructions","1","4772","0.0-1.0","[{""page_index"":0,""viewing_time"":2216}]","2217","Instructions","",""
"","survey-multi-choice-vertical","2","18755","0.0-2.0","","13974","SCSORF_01","{""Q0"":""1. Mi fe religiosa es extremadamente importante para mí.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","3","23990","0.0-3.0","","5228","SCSORF_02","{""Q0"":""2. Rezo a diario.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","4","31353","0.0-4.0","","7356","SCSORF_03","{""Q0"":""3. Considero mi fe una fuente de inspiración""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","5","39813","0.0-5.0","","8445","SCSORF_04","{""Q0"":""4. Considero que mi fe le otorga significado y propósito a mi vida.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","6","46380","0.0-6.0","","6561","SCSORF_05","{""Q0"":""5. Me considero activo/a en mi fe o iglesia.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","7","50533","0.0-7.0","","4147","SCSORF_06","{""Q0"":""6. Mi fe es una parte importante de quien soy como persona.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","8","56213","0.0-8.0","","5673","SCSORF_07","{""Q0"":""7. Mi relación con Dios es extremadamente importante para mí.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","9","61557","0.0-9.0","","5337","SCSORF_08","{""Q0"":""8. Disfruto estando alrededor de otras personas que comparten mi fe.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","10","65985","0.0-10.0","","4419","SCSORF_09","{""Q0"":""9. Veo mi fe como una fuente de comodidad.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","11","69680","0.0-11.0","","3688","SCSORF_10","{""Q0"":""10. Mi fe impacta muchas de mis decisiones.""}","{""Q0"":"" En desacuerdo""}"
