"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":2243}]","2243","Instructions","instructions","0","2245","0.0-0.0","",""
"","11212","SCSORF_01","survey-multi-choice-vertical","1","13463","0.0-1.0","{""Q0"":""1. Mi fe religiosa es extremadamente importante para mí.""}","{""Q0"":"" En desacuerdo""}"
"","4752","SCSORF_02","survey-multi-choice-vertical","2","18218","0.0-2.0","{""Q0"":""2. Rezo a diario.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","3165","SCSORF_03","survey-multi-choice-vertical","3","21386","0.0-3.0","{""Q0"":""3. Considero mi fe una fuente de inspiración""}","{""Q0"":"" En desacuerdo""}"
"","5227","SCSORF_04","survey-multi-choice-vertical","4","26616","0.0-4.0","{""Q0"":""4. Considero que mi fe le otorga significado y propósito a mi vida.""}","{""Q0"":"" En desacuerdo""}"
"","3336","SCSORF_05","survey-multi-choice-vertical","5","29954","0.0-5.0","{""Q0"":""5. Me considero activo/a en mi fe o iglesia.""}","{""Q0"":"" En desacuerdo""}"
"","3866","SCSORF_06","survey-multi-choice-vertical","6","33824","0.0-6.0","{""Q0"":""6. Mi fe es una parte importante de quien soy como persona.""}","{""Q0"":"" En desacuerdo""}"
"","4853","SCSORF_07","survey-multi-choice-vertical","7","38680","0.0-7.0","{""Q0"":""7. Mi relación con Dios es extremadamente importante para mí.""}","{""Q0"":"" Fuertemente de acuerdo""}"
"","8734","SCSORF_08","survey-multi-choice-vertical","8","47416","0.0-8.0","{""Q0"":""8. Disfruto estando alrededor de otras personas que comparten mi fe.""}","{""Q0"":"" En desacuerdo""}"
"","3878","SCSORF_09","survey-multi-choice-vertical","9","51297","0.0-9.0","{""Q0"":""9. Veo mi fe como una fuente de comodidad.""}","{""Q0"":"" En desacuerdo""}"
"","6785","SCSORF_10","survey-multi-choice-vertical","10","58084","0.0-10.0","{""Q0"":""10. Mi fe impacta muchas de mis decisiones.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
