"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1536}]","1537","Instructions","OTRASRELIG","instructions","84","290537","0.0-98.0","",""
"","10147.600000000268","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","300718","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""2""}"
"","1609","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","302339","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" No""}"
"","2031","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","304387","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" No""}"
"","1339","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","305746","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","1105","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","306866","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","2378","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","309262","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","3482","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","312761","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","8654","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","92","321431","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Algunos sí, otros no (aproximadamente mitad sí y mitad no)""}"
"","5452","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","93","326908","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
