"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":3512}]","3512","Instructions","SCSORF","instructions","21","312894","0.0-30.0","",""
"","8816","SCSORF_01","SCSORF","survey-multi-choice-vertical","22","321713","0.0-31.0","{""Q0"":""1. Mi fe religiosa es extremadamente importante para mí.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","3290","SCSORF_02","SCSORF","survey-multi-choice-vertical","23","325005","0.0-32.0","{""Q0"":""2. Rezo a diario.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","7793","SCSORF_03","SCSORF","survey-multi-choice-vertical","24","332800","0.0-33.0","{""Q0"":""3. Considero mi fe una fuente de inspiración""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","5617","SCSORF_04","SCSORF","survey-multi-choice-vertical","25","338419","0.0-34.0","{""Q0"":""4. Considero que mi fe le otorga significado y propósito a mi vida.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","3677","SCSORF_05","SCSORF","survey-multi-choice-vertical","26","342097","0.0-35.0","{""Q0"":""5. Me considero activo/a en mi fe o iglesia.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","3354","SCSORF_06","SCSORF","survey-multi-choice-vertical","27","345453","0.0-36.0","{""Q0"":""6. Mi fe es una parte importante de quien soy como persona.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","11015","SCSORF_07","SCSORF","survey-multi-choice-vertical","28","356471","0.0-37.0","{""Q0"":""7. Mi relación con Dios es extremadamente importante para mí.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","33262","SCSORF_08","SCSORF","survey-multi-choice-vertical","29","389736","0.0-38.0","{""Q0"":""8. Disfruto estando alrededor de otras personas que comparten mi fe.""}","{""Q0"":"" De acuerdo""}"
"","8158","SCSORF_09","SCSORF","survey-multi-choice-vertical","30","397899","0.0-39.0","{""Q0"":""9. Veo mi fe como una fuente de comodidad.""}","{""Q0"":"" De acuerdo""}"
"","7903","SCSORF_10","SCSORF","survey-multi-choice-vertical","31","405804","0.0-40.0","{""Q0"":""10. Mi fe impacta muchas de mis decisiones.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
