"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":5331}]","5332","Instructions","instructions","0","5332","0.0-0.0","",""
"","18125","SCSORF_01","survey-multi-choice-vertical","1","23460","0.0-1.0","{""Q0"":""1. Mi fe religiosa es extremadamente importante para mí.""}","{""Q0"":"" De acuerdo""}"
"","8481","SCSORF_02","survey-multi-choice-vertical","2","31943","0.0-2.0","{""Q0"":""2. Rezo a diario.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","6579","SCSORF_03","survey-multi-choice-vertical","3","38524","0.0-3.0","{""Q0"":""3. Considero mi fe una fuente de inspiración""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","6165","SCSORF_04","survey-multi-choice-vertical","4","44692","0.0-4.0","{""Q0"":""4. Considero que mi fe le otorga significado y propósito a mi vida.""}","{""Q0"":"" En desacuerdo""}"
"","8806","SCSORF_05","survey-multi-choice-vertical","5","53500","0.0-5.0","{""Q0"":""5. Me considero activo/a en mi fe o iglesia.""}","{""Q0"":"" En desacuerdo""}"
"","6202","SCSORF_06","survey-multi-choice-vertical","6","59704","0.0-6.0","{""Q0"":""6. Mi fe es una parte importante de quien soy como persona.""}","{""Q0"":"" En desacuerdo""}"
"","5286","SCSORF_07","survey-multi-choice-vertical","7","64992","0.0-7.0","{""Q0"":""7. Mi relación con Dios es extremadamente importante para mí.""}","{""Q0"":"" En desacuerdo""}"
"","15986","SCSORF_08","survey-multi-choice-vertical","8","80979","0.0-8.0","{""Q0"":""8. Disfruto estando alrededor de otras personas que comparten mi fe.""}","{""Q0"":"" En desacuerdo""}"
"","85890","SCSORF_09","survey-multi-choice-vertical","9","166872","0.0-9.0","{""Q0"":""9. Veo mi fe como una fuente de comodidad.""}","{""Q0"":"" En desacuerdo""}"
"","14612","SCSORF_10","survey-multi-choice-vertical","10","181484","0.0-10.0","{""Q0"":""10. Mi fe impacta muchas de mis decisiones.""}","{""Q0"":"" En desacuerdo""}"
