"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1548}]","1549","Instructions","EAR","instructions","32","159954","0.0-42.0","",""
"","4521","EAR_01","EAR","survey-multi-choice-vertical","33","164486","0.0-43.0","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" Muy en desacuerdo""}"
"","5750","EAR_02","EAR","survey-multi-choice-vertical","34","170245","0.0-44.0","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" Muy de acuerdo""}"
"","2668","EAR_03","EAR","survey-multi-choice-vertical","35","172927","0.0-45.0","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" Muy en desacuerdo""}"
"","3530","EAR_04","EAR","survey-multi-choice-vertical","36","176472","0.0-46.0","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" Muy de acuerdo""}"
"","3240","EAR_05","EAR","survey-multi-choice-vertical","37","179723","0.0-47.0","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" Muy de acuerdo""}"
"","1803","EAR_06","EAR","survey-multi-choice-vertical","38","181542","0.0-48.0","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","1770","EAR_07","EAR","survey-multi-choice-vertical","39","183331","0.0-49.0","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","4369","EAR_08","EAR","survey-multi-choice-vertical","40","187719","0.0-50.0","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","3057","EAR_09","EAR","survey-multi-choice-vertical","41","190796","0.0-51.0","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" En desacuerdo""}"
"","2305","EAR_10","EAR","survey-multi-choice-vertical","42","193118","0.0-52.0","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" En desacuerdo""}"
