"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","SCSORF","fullscreen","23","168253","0.0-29.0-0.0","","","","",""
"","SCSORF","instructions","24","170759","0.0-30.0","[{""page_index"":0,""viewing_time"":2505}]","2505","Instructions","",""
"","SCSORF","survey-multi-choice-vertical","25","185595","0.0-31.0","","14828","SCSORF_01","{""Q0"":""1. Mi fe religiosa es extremadamente importante para mí.""}","{""Q0"":"" De acuerdo""}"
"","SCSORF","survey-multi-choice-vertical","26","190068","0.0-32.0","","4464","SCSORF_02","{""Q0"":""2. Rezo a diario.""}","{""Q0"":"" En desacuerdo""}"
"","SCSORF","survey-multi-choice-vertical","27","194434","0.0-33.0","","4361","SCSORF_03","{""Q0"":""3. Considero mi fe una fuente de inspiración""}","{""Q0"":"" De acuerdo""}"
"","SCSORF","survey-multi-choice-vertical","28","199800","0.0-34.0","","5359","SCSORF_04","{""Q0"":""4. Considero que mi fe le otorga significado y propósito a mi vida.""}","{""Q0"":"" De acuerdo""}"
"","SCSORF","survey-multi-choice-vertical","29","210332","0.0-35.0","","10526","SCSORF_05","{""Q0"":""5. Me considero activo/a en mi fe o iglesia.""}","{""Q0"":"" En desacuerdo""}"
"","SCSORF","survey-multi-choice-vertical","30","213800","0.0-36.0","","3462","SCSORF_06","{""Q0"":""6. Mi fe es una parte importante de quien soy como persona.""}","{""Q0"":"" De acuerdo""}"
"","SCSORF","survey-multi-choice-vertical","31","222466","0.0-37.0","","8661","SCSORF_07","{""Q0"":""7. Mi relación con Dios es extremadamente importante para mí.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","SCSORF","survey-multi-choice-vertical","32","227391","0.0-38.0","","4919","SCSORF_08","{""Q0"":""8. Disfruto estando alrededor de otras personas que comparten mi fe.""}","{""Q0"":"" De acuerdo""}"
"","SCSORF","survey-multi-choice-vertical","33","235398","0.0-39.0","","8001","SCSORF_09","{""Q0"":""9. Veo mi fe como una fuente de comodidad.""}","{""Q0"":"" En desacuerdo""}"
"","SCSORF","survey-multi-choice-vertical","34","239899","0.0-40.0","","4495","SCSORF_10","{""Q0"":""10. Mi fe impacta muchas de mis decisiones.""}","{""Q0"":"" Fuertemente de acuerdo""}"
