"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":5691}]","5692","Instructions","instructions","0","5694","0.0-0.0","",""
"","12803","SCSORF_01","survey-multi-choice-vertical","1","18505","0.0-1.0","{""Q0"":""1. Mi fe religiosa es extremadamente importante para mí.""}","{""Q0"":"" De acuerdo""}"
"","8812","SCSORF_02","survey-multi-choice-vertical","2","27324","0.0-2.0","{""Q0"":""2. Rezo a diario.""}","{""Q0"":"" De acuerdo""}"
"","4750","SCSORF_03","survey-multi-choice-vertical","3","32081","0.0-3.0","{""Q0"":""3. Considero mi fe una fuente de inspiración""}","{""Q0"":"" De acuerdo""}"
"","19754","SCSORF_04","survey-multi-choice-vertical","4","51841","0.0-4.0","{""Q0"":""4. Considero que mi fe le otorga significado y propósito a mi vida.""}","{""Q0"":"" De acuerdo""}"
"","3522","SCSORF_05","survey-multi-choice-vertical","5","55368","0.0-5.0","{""Q0"":""5. Me considero activo/a en mi fe o iglesia.""}","{""Q0"":"" De acuerdo""}"
"","6928","SCSORF_06","survey-multi-choice-vertical","6","62301","0.0-6.0","{""Q0"":""6. Mi fe es una parte importante de quien soy como persona.""}","{""Q0"":"" Fuertemente de acuerdo""}"
"","6712","SCSORF_07","survey-multi-choice-vertical","7","69020","0.0-7.0","{""Q0"":""7. Mi relación con Dios es extremadamente importante para mí.""}","{""Q0"":"" Fuertemente de acuerdo""}"
"","4101","SCSORF_08","survey-multi-choice-vertical","8","73129","0.0-8.0","{""Q0"":""8. Disfruto estando alrededor de otras personas que comparten mi fe.""}","{""Q0"":"" Fuertemente de acuerdo""}"
"","6045","SCSORF_09","survey-multi-choice-vertical","9","79178","0.0-9.0","{""Q0"":""9. Veo mi fe como una fuente de comodidad.""}","{""Q0"":"" De acuerdo""}"
"","7938","SCSORF_10","survey-multi-choice-vertical","10","87122","0.0-10.0","{""Q0"":""10. Mi fe impacta muchas de mis decisiones.""}","{""Q0"":"" De acuerdo""}"
